Id,YearBuilt,YearRemodAdd,YrSold,Time_Grg,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SalePrice,LotShape,LandSlope,HouseStyle,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,KitchenQual,FireplaceQu,GarageQual,GarageCond,PoolQC,Fence,MSZoning,Street,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,Heating,CentralAir,Functional,PavedDrive,SaleType,SaleCondition,Alley,BsmtFinType1,BsmtFinType2,GarageType,GarageFinish,MiscFeature,MasVnrType,Electrical,MSSubClass
173,1987,1987,2006,19,44.0,5306,0.0,495,215,354,1064,1064,703,0,1767,1,0,2,0,2,1,5,1,2,504,441,35,0,0,0,0,0,6,239000,IR1,Gtl,2Story,7,7,Gd,Gd,Gd,Gd,No,Gd,Gd,TA,Gd,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,StoneBr,Norm,Norm,TwnhsE,Gable,CompShg,HdBoard,HdBoard,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Rec,Attchd,RFn,NA,None,SBrkr,160
174,1961,1961,2008,47,80.0,10197,491.0,288,374,700,1362,1362,0,0,1362,1,0,1,1,3,1,6,1,2,504,0,20,0,0,0,0,0,6,163000,IR1,Gtl,1Story,6,5,TA,TA,TA,TA,No,TA,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Gable,CompShg,WdShing,Wd Shng,CBlock,GasA,Y,Typ,Y,COD,Normal,NA,ALQ,Rec,Attchd,Unf,NA,BrkCmn,SBrkr,20
175,1986,1986,2008,22,47.0,12416,132.0,1398,208,0,1606,1651,0,0,1651,1,0,2,0,3,1,7,1,2,616,192,0,0,0,0,0,0,11,184000,IR1,Gtl,1Story,6,5,TA,TA,Gd,Fa,No,TA,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Timber,Norm,Norm,1Fam,Gable,CompShg,VinylSd,Plywood,CBlock,GasA,Y,Min2,Y,WD,Normal,NA,ALQ,LwQ,Attchd,Fin,NA,Stone,SBrkr,20
176,1950,2001,2007,57,84.0,12615,0.0,477,0,725,1202,2158,0,0,2158,1,0,2,0,4,1,7,1,2,576,0,29,39,0,0,0,0,6,243000,Reg,Gtl,1Story,6,7,TA,TA,TA,Gd,Av,TA,Gd,Gd,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Corner,Edwards,Norm,Norm,1Fam,Gable,CompShg,WdShing,Wd Shng,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Attchd,Unf,NA,None,SBrkr,20
177,1988,1989,2007,19,97.0,10029,268.0,831,0,320,1151,1164,896,0,2060,0,1,2,1,4,1,8,1,2,521,0,228,0,0,192,0,0,9,211000,IR1,Gtl,2Story,6,5,Gd,TA,Gd,TA,No,TA,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,ClearCr,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Unf,NA,BrkFace,SBrkr,60
178,1958,1958,2006,48,104.2,13650,0.0,57,441,554,1052,1252,668,0,1920,1,0,2,0,4,1,8,1,2,451,0,0,0,0,0,0,0,7,172500,Reg,Gtl,1.5Fin,5,5,Gd,Gd,TA,TA,No,Ex,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,BLQ,Attchd,Unf,NA,None,SBrkr,50
179,2008,2009,2009,0,63.0,17423,748.0,1904,0,312,2216,2234,0,0,2234,1,0,2,0,1,1,9,1,3,1166,0,60,0,0,0,0,0,7,501837,IR1,Gtl,1Story,9,5,Ex,TA,Ex,TA,No,Ex,Ex,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,CulDSac,StoneBr,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,New,Partial,NA,GLQ,Unf,Attchd,Fin,NA,Stone,SBrkr,20
180,1923,2006,2007,72,60.0,8520,0.0,0,0,968,968,968,0,0,968,0,0,1,0,2,1,5,0,2,480,0,0,184,0,0,0,0,7,100000,Reg,Gtl,1Story,5,6,Gd,TA,TA,TA,No,TA,TA,NA,Fa,TA,NA,NA,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,Y,Typ,N,WD,Normal,NA,Unf,Unf,Detchd,Unf,NA,None,SBrkr,30
181,2000,2000,2007,7,33.8,2117,456.0,436,0,320,756,769,756,0,1525,0,0,2,1,3,1,5,1,2,440,0,0,0,0,0,0,0,6,177000,Reg,Gtl,2Story,6,5,Gd,TA,Gd,TA,No,Ex,Gd,TA,TA,TA,NA,NA,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,Twnhs,Gable,CompShg,MetalSd,MetalSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Detchd,Unf,NA,BrkFace,SBrkr,160
182,1920,1950,2006,86,54.0,7588,0.0,352,0,441,793,901,901,0,1802,0,0,1,1,4,1,9,1,1,216,0,0,40,0,0,0,0,7,200100,Reg,Gtl,2Story,7,6,TA,TA,Fa,TA,No,Gd,TA,Gd,Fa,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Crawfor,Norm,Norm,1Fam,Gable,CompShg,Stucco,Stucco,BrkTil,GasA,Y,Typ,Y,WD,Normal,NA,LwQ,Unf,Detchd,Unf,NA,None,SBrkr,70
183,1957,2006,2007,50,60.0,9060,98.0,0,0,0,0,1340,0,0,1340,0,0,1,0,3,1,7,1,1,252,116,0,0,180,0,0,0,6,120000,Reg,Gtl,1Story,5,6,TA,TA,NA,NA,NA,Ex,TA,Gd,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,Edwards,Artery,Norm,1Fam,Hip,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,Y,Typ,Y,WD,Normal,NA,NA,NA,Attchd,RFn,NA,BrkFace,SBrkr,20
184,2003,2003,2008,5,63.0,11426,0.0,0,0,1362,1362,1362,720,0,2082,0,0,2,1,3,1,6,0,2,484,280,238,0,0,0,0,0,6,200000,Reg,Gtl,1.5Fin,7,5,TA,TA,Gd,TA,No,Ex,Gd,NA,TA,TA,NA,NA,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Mod,N,WD,Normal,NA,Unf,Unf,Detchd,Unf,NA,None,SBrkr,50
185,1908,1991,2006,20,92.0,7438,0.0,0,0,504,504,936,316,0,1252,0,0,1,0,3,1,5,0,2,576,104,0,0,0,0,0,0,6,127000,IR1,Gtl,1.5Fin,5,8,TA,TA,Fa,TA,No,Gd,TA,NA,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,BrkSide,RRAn,Feedr,1Fam,Gable,CompShg,AsbShng,Plywood,PConc,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Attchd,Unf,NA,None,SBrkr,50
186,1892,1993,2006,13,90.0,22950,0.0,0,0,1107,1107,1518,1518,572,3608,0,0,2,1,4,1,12,2,3,840,0,260,0,0,410,0,0,6,475000,IR2,Gtl,2.5Fin,10,9,Gd,Gd,TA,TA,Mn,Ex,Ex,TA,Ex,TA,NA,GdPrv,RM,Pave,Lvl,AllPub,Inside,OldTown,Artery,Norm,1Fam,Gable,WdShngl,Wd Sdng,Wd Sdng,BrkTil,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Detchd,Unf,NA,None,SBrkr,75
187,1990,1991,2009,19,69.4,9947,0.0,611,0,577,1188,1217,0,0,1217,1,0,2,0,3,1,6,0,2,497,168,27,0,0,0,0,0,6,173000,IR1,Gtl,SLvl,7,5,TA,TA,Gd,TA,Av,Ex,Gd,NA,TA,TA,NA,GdPrv,RL,Pave,Lvl,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Unf,NA,None,SBrkr,80
188,1916,1987,2009,93,60.0,10410,0.0,0,0,660,660,808,704,144,1656,0,0,2,1,3,1,8,0,1,180,0,0,0,140,0,0,0,8,135000,Reg,Gtl,1.5Fin,5,7,TA,TA,Fa,TA,No,Ex,TA,NA,Fa,Fa,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Min2,N,WD,Normal,NA,Unf,Unf,Detchd,Unf,NA,None,SBrkr,50
189,1979,1979,2009,30,64.0,7018,275.0,1086,0,0,1086,1224,0,0,1224,2,0,0,2,2,2,6,2,2,528,120,0,0,0,0,0,0,6,153337,Reg,Gtl,SFoyer,5,5,TA,TA,Gd,TA,Av,TA,TA,TA,TA,TA,NA,NA,RL,Pave,Bnk,AllPub,Inside,SawyerW,Feedr,Norm,Duplex,Gable,CompShg,Plywood,Plywood,CBlock,GasA,Y,Typ,Y,WD,Alloca,NA,GLQ,Unf,Detchd,Unf,NA,Stone,SBrkr,90
190,2001,2002,2008,7,41.0,4923,0.0,1153,0,440,1593,1593,0,0,1593,1,0,1,1,0,1,5,1,2,682,0,120,0,0,224,0,0,8,286000,Reg,Gtl,1Story,8,5,Gd,TA,Ex,TA,Av,Ex,Ex,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,StoneBr,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Fin,NA,None,SBrkr,120
191,1932,1994,2007,75,70.0,10570,0.0,297,0,556,853,1549,1178,0,2727,0,0,2,1,3,1,10,2,2,440,0,74,0,0,0,0,0,12,315000,Reg,Mod,2Story,8,8,Gd,TA,Gd,Gd,No,TA,Gd,TA,TA,TA,NA,NA,RL,Pave,Bnk,AllPub,Inside,Crawfor,Norm,Norm,1Fam,Hip,CompShg,BrkFace,BrkFace,CBlock,GasA,Y,Maj1,Y,WD,Normal,NA,Rec,Unf,Detchd,Unf,NA,None,SBrkr,70
192,1972,2004,2007,35,63.8,7472,138.0,626,0,99,725,725,754,0,1479,1,0,1,1,4,1,7,0,2,484,0,32,0,0,0,0,0,6,184000,IR1,Gtl,2Story,7,9,TA,TA,TA,TA,No,Gd,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Attchd,Fin,NA,BrkFace,SBrkr,60
193,1999,1999,2009,10,68.0,9017,0.0,560,0,871,1431,1431,0,0,1431,1,0,2,0,3,1,6,0,2,666,0,35,0,0,0,0,0,9,192000,IR1,Gtl,1Story,7,5,Gd,TA,Gd,TA,Av,Ex,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Fin,NA,None,SBrkr,20
194,2004,2004,2006,2,24.0,2522,50.0,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,5,130000,Reg,Gtl,2Story,7,5,Gd,TA,Gd,TA,No,Ex,Gd,NA,TA,TA,NA,NA,RM,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,Twnhs,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Maj1,Y,WD,Normal,NA,Unf,Unf,Detchd,Unf,NA,Stone,SBrkr,160
195,1972,1972,2008,19,60.0,7180,0.0,390,0,474,864,864,0,0,864,0,0,1,0,3,1,5,0,1,352,0,0,0,0,0,0,0,5,127000,IR1,Gtl,1Story,5,7,TA,TA,TA,TA,Av,TA,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Detchd,Unf,NA,None,SBrkr,20
196,1976,1976,2009,33,24.0,2280,0.0,566,0,289,855,855,601,0,1456,0,0,2,1,3,1,7,1,2,440,87,0,0,0,0,0,0,7,148500,Reg,Gtl,2Story,6,6,TA,TA,Gd,TA,No,TA,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,FR2,NPkVill,Norm,Norm,Twnhs,Gable,CompShg,Plywood,Brk Cmn,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Attchd,Unf,NA,None,SBrkr,160
197,2007,2007,2007,0,79.0,9416,205.0,1126,0,600,1726,1726,0,0,1726,1,0,2,0,3,1,8,1,3,786,171,138,0,0,266,0,0,9,311872,Reg,Gtl,1Story,7,5,Ex,TA,Ex,TA,No,Ex,Ex,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,Hip,CompShg,CemntBd,CmentBd,PConc,GasA,Y,Typ,Y,New,Partial,NA,GLQ,Unf,Attchd,Fin,NA,Stone,SBrkr,20
198,1918,1990,2006,88,174.0,25419,0.0,1036,184,140,1360,1360,1360,392,3112,1,1,2,0,4,1,8,1,2,795,0,16,552,0,0,512,0,3,235000,Reg,Gtl,2Story,8,4,Gd,Gd,TA,TA,No,Gd,Gd,Ex,TA,TA,Ex,GdPrv,RL,Pave,Lvl,AllPub,Corner,NAmes,Artery,Norm,1Fam,Gable,CompShg,Stucco,Stucco,PConc,GasA,Y,Typ,Y,WD,Abnorml,NA,GLQ,LwQ,Detchd,Unf,NA,None,SBrkr,75
199,1912,1950,2009,0,92.0,5520,0.0,0,0,755,755,929,929,371,2229,0,0,1,0,5,1,8,0,0,0,0,198,30,0,0,0,0,7,104000,Reg,Gtl,2.5Fin,6,6,TA,TA,TA,TA,No,Ex,TA,NA,NA,NA,NA,MnPrv,RM,Pave,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,Y,Typ,Y,WD,Abnorml,NA,Unf,Unf,NA,NA,NA,None,SBrkr,75
200,2004,2005,2009,5,76.0,9591,262.0,1088,0,625,1713,1713,0,0,1713,1,0,2,0,3,1,7,1,3,856,0,26,0,0,170,0,0,1,274900,Reg,Gtl,1Story,8,5,Gd,TA,Ex,TA,Av,Ex,Ex,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Fin,NA,BrkFace,SBrkr,20
201,2003,2004,2010,7,80.0,8546,0.0,0,0,1121,1121,1121,0,0,1121,0,0,2,0,2,1,5,0,2,440,132,64,0,0,0,0,0,3,140000,Reg,Gtl,1Story,4,5,TA,TA,Gd,TA,No,Ex,TA,NA,TA,TA,NA,NA,RM,Pave,Lvl,AllPub,Corner,Edwards,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Attchd,RFn,NA,None,SBrkr,20
202,1977,1977,2008,28,75.0,10125,0.0,641,279,276,1196,1279,0,0,1279,0,1,2,0,3,1,6,2,2,473,238,83,0,0,0,0,0,2,171500,Reg,Gtl,1Story,6,6,TA,TA,TA,TA,No,TA,TA,Fa,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,Mitchel,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,LwQ,Detchd,Unf,NA,None,SBrkr,20
203,1924,1950,2006,82,50.0,7000,0.0,617,0,0,617,865,445,0,1310,0,0,2,0,2,1,6,0,1,398,0,0,126,0,0,0,0,5,112000,Reg,Gtl,1.5Fin,6,6,TA,Gd,Fa,TA,No,Gd,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,OldTown,Artery,Norm,1Fam,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,Y,Min1,Y,COD,Normal,NA,LwQ,Unf,Attchd,Unf,NA,None,SBrkr,50
204,2004,2004,2008,4,33.0,4438,205.0,662,0,186,848,848,0,0,848,1,0,1,0,1,1,3,1,2,420,149,0,0,0,0,0,0,1,149000,Reg,Gtl,1Story,6,5,Gd,TA,Gd,TA,Av,Ex,Gd,Gd,TA,TA,NA,NA,RM,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,TwnhsE,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,BrkFace,SBrkr,120
205,1947,1950,2009,61,50.0,3500,0.0,312,0,408,720,720,564,0,1284,0,0,1,1,2,1,5,0,1,240,0,35,0,0,0,0,0,4,110000,Reg,Gtl,1.5Fin,5,7,TA,TA,TA,TA,No,TA,TA,NA,TA,TA,NA,MnWw,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,Gable,CompShg,AsbShng,AsbShng,CBlock,GasA,Y,Typ,Y,WD,Normal,Grvl,LwQ,Unf,Detchd,Unf,NA,None,SBrkr,50
206,1990,1990,2009,19,99.0,11851,0.0,0,0,1424,1424,1442,0,0,1442,0,0,2,0,3,1,5,0,2,500,0,34,0,508,0,0,0,5,180500,Reg,Gtl,1Story,7,5,TA,TA,Gd,TA,No,Ex,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,PConc,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Attchd,RFn,NA,None,SBrkr,20
207,1962,1962,2007,45,40.0,13673,0.0,0,0,1140,1140,1696,0,0,1696,0,0,1,1,3,1,8,1,1,349,0,30,0,0,0,0,0,3,143900,IR1,Gtl,1Story,5,5,TA,Gd,TA,TA,No,TA,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,CulDSac,Sawyer,RRAe,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Min2,Y,WD,Normal,NA,Unf,Unf,Attchd,RFn,NA,None,SBrkr,20
208,1960,1960,2008,48,76.6,12493,0.0,419,306,375,1100,1100,0,0,1100,1,0,1,0,3,1,6,1,1,312,355,0,0,0,0,0,0,4,141000,IR1,Gtl,1Story,4,5,TA,TA,TA,TA,No,TA,TA,Po,TA,TA,NA,GdWo,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Rec,Attchd,RFn,NA,None,SBrkr,20
209,1988,1989,2007,19,86.0,14364,128.0,1065,0,92,1157,1180,882,0,2062,1,0,2,1,3,1,7,1,2,454,60,55,0,0,154,0,0,4,277000,IR1,Mod,2Story,7,5,Gd,TA,Gd,TA,Gd,Ex,TA,Gd,TA,TA,NA,NA,RL,Pave,Low,AllPub,Inside,SawyerW,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Fin,NA,BrkFace,SBrkr,60
210,1964,1964,2008,44,75.0,8250,260.0,787,0,305,1092,1092,0,0,1092,1,0,1,0,3,1,6,0,2,504,0,0,0,0,0,0,0,7,145000,Reg,Gtl,1Story,6,7,TA,TA,Gd,TA,No,Ex,TA,NA,TA,Gd,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,Rec,Unf,Attchd,RFn,NA,Stone,SBrkr,20
211,1925,1950,2008,0,67.0,5604,0.0,468,0,396,864,864,0,0,864,1,0,1,0,2,1,5,0,0,0,0,0,96,0,0,0,0,4,98000,Reg,Gtl,1Story,5,6,TA,TA,TA,TA,No,TA,TA,NA,NA,NA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,Gable,CompShg,Stucco,Stucco,CBlock,GasA,N,Typ,Y,WD,Normal,NA,Rec,Unf,NA,NA,NA,None,FuseA,30
212,2009,2009,2010,1,83.0,10420,0.0,36,0,1176,1212,1212,0,0,1212,0,0,2,0,3,1,6,0,2,460,100,22,0,0,0,0,0,3,186000,Reg,Gtl,1Story,6,5,TA,TA,Gd,TA,Mn,Ex,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,Edwards,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,None,SBrkr,20
213,2009,2009,2009,0,72.0,8640,0.0,822,0,78,900,932,920,0,1852,1,0,2,1,3,1,7,1,2,644,168,108,0,0,0,0,0,7,252678,Reg,Gtl,2Story,7,5,TA,TA,Gd,TA,No,Ex,Gd,TA,TA,TA,NA,NA,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,New,Partial,NA,GLQ,Unf,Attchd,RFn,NA,None,SBrkr,60
214,1995,1995,2006,10,43.0,13568,0.0,716,0,274,990,990,0,0,990,0,1,1,0,3,1,5,0,2,576,224,0,0,0,0,0,0,7,156000,IR2,Gtl,1Story,5,5,TA,TA,Gd,TA,No,Ex,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Attchd,Unf,NA,None,SBrkr,20
215,1977,1977,2010,33,67.6,10900,153.0,378,0,311,689,689,703,0,1392,0,0,1,1,3,1,6,0,1,299,0,36,0,0,0,0,450,3,161750,IR1,Gtl,2Story,6,7,TA,TA,Gd,TA,No,Ex,TA,NA,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,FR2,CollgCr,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Fin,Shed,BrkFace,SBrkr,60
216,1957,1996,2006,49,72.0,10011,64.0,360,0,710,1070,1236,0,0,1236,0,1,1,0,2,1,6,1,1,447,0,0,0,0,0,0,0,5,134450,IR1,Gtl,1Story,5,6,TA,TA,TA,TA,No,TA,Gd,Fa,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Min1,Y,WD,Normal,NA,BLQ,Unf,Attchd,Unf,NA,BrkFace,SBrkr,20
217,2004,2004,2008,4,65.0,8450,266.0,946,0,490,1436,1436,0,0,1436,1,0,2,0,3,1,8,0,2,484,139,98,0,0,0,0,0,4,210000,Reg,Gtl,1Story,7,5,Gd,TA,Gd,TA,Mn,Ex,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Unf,NA,BrkFace,SBrkr,20
218,1925,1950,2006,66,57.0,9906,0.0,0,0,686,686,810,518,0,1328,0,0,1,0,3,1,8,0,1,210,0,172,60,0,0,0,0,9,107000,Reg,Gtl,2Story,4,4,TA,TA,TA,TA,No,Fa,TA,NA,TA,TA,NA,NA,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,N,Typ,Y,WD,Family,Grvl,Unf,Unf,Detchd,Unf,NA,None,SBrkr,70
219,1939,2006,2008,69,98.4,15660,312.0,341,0,457,798,1137,817,0,1954,0,1,1,1,3,1,8,2,2,431,0,119,150,0,0,0,0,5,311500,IR1,Gtl,1.5Fin,7,9,Gd,Gd,TA,TA,No,Ex,Gd,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,Crawfor,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,BLQ,Unf,Attchd,Unf,NA,BrkFace,SBrkr,50
220,2005,2006,2006,1,43.0,3010,16.0,16,0,1232,1248,1248,0,0,1248,0,0,2,0,2,1,5,0,2,438,108,0,0,0,0,0,0,3,167240,Reg,Gtl,1Story,7,5,Gd,TA,Gd,TA,Av,Ex,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,New,Partial,NA,GLQ,Unf,Attchd,Fin,NA,BrkFace,SBrkr,120
221,2006,2006,2006,0,73.0,8990,0.0,0,0,1498,1498,1498,0,0,1498,0,0,2,0,2,1,5,0,2,675,351,33,0,0,0,0,0,4,204900,IR1,Gtl,1Story,7,5,Gd,TA,Gd,TA,Mn,Ex,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,New,Partial,NA,Unf,Unf,Attchd,RFn,NA,None,SBrkr,20
222,2002,2002,2009,7,67.4,8068,0.0,0,0,1010,1010,1010,1257,0,2267,0,0,2,1,4,1,8,1,2,390,120,46,0,0,0,0,0,12,200000,IR1,Gtl,2Story,6,5,Gd,TA,Gd,TA,No,Ex,Gd,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,ConLI,Normal,NA,Unf,Unf,BuiltIn,RFn,NA,None,SBrkr,60
223,1975,1975,2006,31,85.0,11475,0.0,550,0,163,713,811,741,0,1552,1,0,2,1,3,1,6,1,2,434,209,208,0,0,0,0,0,2,179900,Reg,Gtl,2Story,6,6,TA,TA,Gd,TA,No,TA,TA,TA,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,NWAmes,RRAn,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Attchd,RFn,NA,None,SBrkr,60
